nama_daerah,Latitude,Longitude
KABUPATEN CIAMIS,-7.325.788,1.083.514,,,,,,,,,,,,
KABUPATEN CIAMIS,-7.325.788,1.083.514,,,,,,,,,,,,
KABUPATEN CIAMIS,-7.325.788,1.083.514,,,,,,,,,,,,
KABUPATEN CIAMIS,-7.325.788,1.083.514,,,,,,,,,,,,
KABUPATEN CIAMIS,-7.325.788,1.083.514,,,,,,,,,,,,
KABUPATEN CIAMIS,-7.325.788,1.083.514,,,,,,,,,,,,
KABUPATEN CIAMIS,-7.325.788,1.083.514,,,,,,,,,,,,
KABUPATEN CIAMIS,-7.325.788,1.083.514,,,,,,,,,,,,
KABUPATEN CIAMIS,-7.325.788,1.083.514,,,,,,,,,,,,
KABUPATEN KUNINGAN,-6.976.233,108.482.982,,,,,,,,,,,,
KABUPATEN KUNINGAN,-6.976.233,108.482.982,,,,,,,,,,,,
KABUPATEN KUNINGAN,-6.976.233,108.482.982,,,,,,,,,,,,
KABUPATEN KUNINGAN,-6.976.233,108.482.982,,,,,,,,,,,,
KABUPATEN KUNINGAN,-6.976.233,108.482.982,,,,,,,,,,,,
KABUPATEN KUNINGAN,-6.976.233,108.482.982,,,,,,,,,,,,
KABUPATEN KUNINGAN,-6.976.233,108.482.982,,,,,,,,,,,,
KABUPATEN KUNINGAN,-6.976.233,108.482.982,,,,,,,,,,,,
KABUPATEN KUNINGAN,-6.976.233,108.482.982,,,,,,,,,,,,
KABUPATEN KUNINGAN,-6.976.233,108.482.982,,,,,,,,,,,,
KABUPATEN KUNINGAN,-6.976.233,108.482.982,,,,,,,,,,,,
KABUPATEN KUNINGAN,-6.976.233,108.482.982,,,,,,,,,,,,
KABUPATEN CIREBON,-6.764.507,108.478.858,,,,,,,,,,,,
KABUPATEN CIREBON,-6.764.507,108.478.858,,,,,,,,,,,,
KABUPATEN CIREBON,-6.764.507,108.478.858,,,,,,,,,,,,
KABUPATEN CIREBON,-6.764.507,108.478.858,,,,,,,,,,,,
KABUPATEN CIREBON,-6.764.507,108.478.858,,,,,,,,,,,,
KABUPATEN CIREBON,-6.764.507,108.478.858,,,,,,,,,,,,
KABUPATEN CIREBON,-6.764.507,108.478.858,,,,,,,,,,,,
KABUPATEN CIREBON,-6.764.507,108.478.858,,,,,,,,,,,,
KABUPATEN CIREBON,-6.764.507,108.478.858,,,,,,,,,,,,
KABUPATEN CIREBON,-6.764.507,108.478.858,,,,,,,,,,,,
KABUPATEN CIREBON,-6.764.507,108.478.858,,,,,,,,,,,,
KABUPATEN CIREBON,-6.764.507,108.478.858,,,,,,,,,,,,
KABUPATEN MAJALENGKA,-6.836.531,108.227.876,,,,,,,,,,,,
KABUPATEN MAJALENGKA,-6.836.531,108.227.876,,,,,,,,,,,,
KABUPATEN MAJALENGKA,-6.836.531,108.227.876,,,,,,,,,,,,
KABUPATEN MAJALENGKA,-6.836.531,108.227.876,,,,,,,,,,,,
KABUPATEN MAJALENGKA,-6.836.531,108.227.876,,,,,,,,,,,,
KABUPATEN MAJALENGKA,-6.836.531,108.227.876,,,,,,,,,,,,
KABUPATEN MAJALENGKA,-6.836.531,108.227.876,,,,,,,,,,,,
KABUPATEN MAJALENGKA,-6.836.531,108.227.876,,,,,,,,,,,,
KABUPATEN MAJALENGKA,-6.836.531,108.227.876,,,,,,,,,,,,
KABUPATEN MAJALENGKA,-6.836.531,108.227.876,,,,,,,,,,,,
KABUPATEN MAJALENGKA,-6.836.531,108.227.876,,,,,,,,,,,,
KABUPATEN MAJALENGKA,-6.836.531,108.227.876,,,,,,,,,,,,
KABUPATEN SUMEDANG,-6.861.126,107.920.102,,,,,,,,,,,,
KABUPATEN SUMEDANG,-6.861.126,107.920.102,,,,,,,,,,,,
KABUPATEN SUMEDANG,-6.861.126,107.920.102,,,,,,,,,,,,
KABUPATEN SUMEDANG,-6.861.126,107.920.102,,,,,,,,,,,,
KABUPATEN SUMEDANG,-6.861.126,107.920.102,,,,,,,,,,,,
KABUPATEN SUMEDANG,-6.861.126,107.920.102,,,,,,,,,,,,
KABUPATEN SUMEDANG,-6.861.126,107.920.102,,,,,,,,,,,,
KABUPATEN SUMEDANG,-6.861.126,107.920.102,,,,,,,,,,,,
KABUPATEN SUMEDANG,-6.861.126,107.920.102,,,,,,,,,,,,
KABUPATEN SUMEDANG,-6.861.126,107.920.102,,,,,,,,,,,,
KABUPATEN SUMEDANG,-6.861.126,107.920.102,,,,,,,,,,,,
KABUPATEN SUMEDANG,-6.861.126,107.920.102,,,,,,,,,,,,
KABUPATEN INDRAMAYU,-6.327.234,108.322.903,,,,,,,,,,,,
KABUPATEN INDRAMAYU,-6.327.234,108.322.903,,,,,,,,,,,,
KABUPATEN INDRAMAYU,-6.327.234,108.322.903,,,,,,,,,,,,
KABUPATEN INDRAMAYU,-6.327.234,108.322.903,,,,,,,,,,,,
KABUPATEN INDRAMAYU,-6.327.234,108.322.903,,,,,,,,,,,,
KABUPATEN INDRAMAYU,-6.327.234,108.322.903,,,,,,,,,,,,
KABUPATEN INDRAMAYU,-6.327.234,108.322.903,,,,,,,,,,,,
KABUPATEN INDRAMAYU,-6.327.234,108.322.903,,,,,,,,,,,,
KABUPATEN INDRAMAYU,-6.327.234,108.322.903,,,,,,,,,,,,
KABUPATEN INDRAMAYU,-6.327.234,108.322.903,,,,,,,,,,,,
KABUPATEN INDRAMAYU,-6.327.234,108.322.903,,,,,,,,,,,,
KABUPATEN INDRAMAYU,-6.327.234,108.322.903,,,,,,,,,,,,
KABUPATEN SUBANG,-6.571.549,107.762.495,,,,,,,,,,,,
KABUPATEN SUBANG,-6.571.549,107.762.495,,,,,,,,,,,,
KABUPATEN SUBANG,-6.571.549,107.762.495,,,,,,,,,,,,
KABUPATEN SUBANG,-6.571.549,107.762.495,,,,,,,,,,,,
KABUPATEN SUBANG,-6.571.549,107.762.495,,,,,,,,,,,,
KABUPATEN SUBANG,-6.571.549,107.762.495,,,,,,,,,,,,
KABUPATEN SUBANG,-6.571.549,107.762.495,,,,,,,,,,,,
KABUPATEN SUBANG,-6.571.549,107.762.495,,,,,,,,,,,,
KABUPATEN SUBANG,-6.571.549,107.762.495,,,,,,,,,,,,
KABUPATEN SUBANG,-6.571.549,107.762.495,,,,,,,,,,,,
KABUPATEN SUBANG,-6.571.549,107.762.495,,,,,,,,,,,,
KABUPATEN SUBANG,-6.571.549,107.762.495,,,,,,,,,,,,
KABUPATEN PURWAKARTA,-6.551.701,107.446.541,,,,,,,,,,,,
KABUPATEN PURWAKARTA,-6.551.701,107.446.541,,,,,,,,,,,,
KABUPATEN PURWAKARTA,-6.551.701,107.446.541,,,,,,,,,,,,
KABUPATEN PURWAKARTA,-6.551.701,107.446.541,,,,,,,,,,,,
KABUPATEN PURWAKARTA,-6.551.701,107.446.541,,,,,,,,,,,,
KABUPATEN PURWAKARTA,-6.551.701,107.446.541,,,,,,,,,,,,
KABUPATEN PURWAKARTA,-6.551.701,107.446.541,,,,,,,,,,,,
KABUPATEN PURWAKARTA,-6.551.701,107.446.541,,,,,,,,,,,,
KABUPATEN PURWAKARTA,-6.551.701,107.446.541,,,,,,,,,,,,
KABUPATEN PURWAKARTA,-6.551.701,107.446.541,,,,,,,,,,,,
KABUPATEN PURWAKARTA,-6.551.701,107.446.541,,,,,,,,,,,,
KABUPATEN PURWAKARTA,-6.551.701,107.446.541,,,,,,,,,,,,
KABUPATEN KARAWANG,-6.301.721,10.730.529,,,,,,,,,,,,
KABUPATEN KARAWANG,-6.301.721,10.730.529,,,,,,,,,,,,
KABUPATEN KARAWANG,-6.301.721,10.730.529,,,,,,,,,,,,
KABUPATEN KARAWANG,-6.301.721,10.730.529,,,,,,,,,,,,
KABUPATEN KARAWANG,-6.301.721,10.730.529,,,,,,,,,,,,
KABUPATEN KARAWANG,-6.301.721,10.730.529,,,,,,,,,,,,
KABUPATEN KARAWANG,-6.301.721,10.730.529,,,,,,,,,,,,
KABUPATEN KARAWANG,-6.301.721,10.730.529,,,,,,,,,,,,
KABUPATEN KARAWANG,-6.301.721,10.730.529,,,,,,,,,,,,
KABUPATEN KARAWANG,-6.301.721,10.730.529,,,,,,,,,,,,
KABUPATEN KARAWANG,-6.301.721,10.730.529,,,,,,,,,,,,
KABUPATEN KARAWANG,-6.301.721,10.730.529,,,,,,,,,,,,
KABUPATEN BEKASI,-6.364.614,107.172.509,,,,,,,,,,,,
KABUPATEN BEKASI,-6.364.614,107.172.509,,,,,,,,,,,,
KABUPATEN BEKASI,-6.364.614,107.172.509,,,,,,,,,,,,
KABUPATEN BEKASI,-6.364.614,107.172.509,,,,,,,,,,,,
KABUPATEN BEKASI,-6.364.614,107.172.509,,,,,,,,,,,,
KABUPATEN BEKASI,-6.364.614,107.172.509,,,,,,,,,,,,
KABUPATEN BEKASI,-6.364.614,107.172.509,,,,,,,,,,,,
KABUPATEN BEKASI,-6.364.614,107.172.509,,,,,,,,,,,,
KABUPATEN BEKASI,-6.364.614,107.172.509,,,,,,,,,,,,
KABUPATEN BEKASI,-6.364.614,107.172.509,,,,,,,,,,,,
KABUPATEN BEKASI,-6.364.614,107.172.509,,,,,,,,,,,,
KABUPATEN BEKASI,-6.364.614,107.172.509,,,,,,,,,,,,
KABUPATEN BANDUNG BARAT,-6.840.651,107.512.302,,,,,,,,,,,,
KABUPATEN BANDUNG BARAT,-6.840.651,107.512.302,,,,,,,,,,,,
KABUPATEN BANDUNG BARAT,-6.840.651,107.512.302,,,,,,,,,,,,
KABUPATEN BANDUNG BARAT,-6.840.651,107.512.302,,,,,,,,,,,,
KABUPATEN BANDUNG BARAT,-6.840.651,107.512.302,,,,,,,,,,,,
KABUPATEN BANDUNG BARAT,-6.840.651,107.512.302,,,,,,,,,,,,
KABUPATEN BANDUNG BARAT,-6.840.651,107.512.302,,,,,,,,,,,,
KABUPATEN BANDUNG BARAT,-6.840.651,107.512.302,,,,,,,,,,,,
KABUPATEN BANDUNG BARAT,-6.840.651,107.512.302,,,,,,,,,,,,
